2019-06-22 09:37:41,b'RT @prashar_mayank: life is awsm with @bgs2209 @roy_soumyojit'
2019-06-22 09:36:08,b'life is awsm with @bgs2209 @roy_soumyojit'
2019-06-19 08:51:23,b'RT @bgs2209: python learning. #summerinternship #henryharvin'
